file,article_name,fincen_id,doc_type,doc_title,doc_date,source_csv,sha256,mode,pages,total_hits_regex,top_labels_regex,embedding_backend,embedding_model,sim_threshold,top_k,min_sim_floor
fincen_advisory_pdfs\advis11.pdf,advis11.pdf,,Advisory,FinCEN Advisory - Issue 11,04/01/1999,fincen_advisories.csv,fe5fbf986f27616b63f48d45475371d6ffbc092a2923201069c542b1655e12f7,direct,2,4,money_laundering:4,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis12.pdf,advis12.pdf,,Advisory,FinCEN Advisory - Issue 12,06/01/1999,fincen_advisories.csv,53fe40f2d1eb24725a79e9bf18da2c38c81dd3c3090e643f87b7b69ef67b1185,direct,3,2,money_laundering:1; structuring_smurfing:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis13.pdf,advis13.pdf,,Advisory,FinCEN Advisory - Issue 13,07/01/2000,fincen_advisories.csv,8f7c94d99e4d781aee495b2b69fa0b7d2f101f0cd82ea302d8d21faaca4bc578,direct,4,17,money_laundering:17,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis14.pdf,advis14.pdf,,Advisory,FinCEN Advisory - Issue 14,07/01/2000,fincen_advisories.csv,120757a959c388811dd5a22af6023c06f8b5f5e6502ae1df866b001fc2977346,direct,4,15,money_laundering:15,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis16.pdf,advis16.pdf,,Advisory,FinCEN Advisory - Issue 16,07/01/2000,fincen_advisories.csv,16557cd29f6e15865973d2a5f77841eeab1607150ecaed0ec5347442a9b12d03,direct,3,8,money_laundering:8,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis17.pdf,advis17.pdf,,Advisory,FinCEN Advisory - Issue 17,07/01/2000,fincen_advisories.csv,5496d4fb09c991c67d903881322e9c77fc7da57b0612746f6b2fdb7c9bb5d941,direct,3,10,money_laundering:10,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis18.pdf,advis18.pdf,,Advisory,FinCEN Advisory - Issue 18,07/01/2000,fincen_advisories.csv,cc72e52d3da3e388a0a85b75b82024ab89617f6c425f497f7a09c11d3d1b573a,direct,3,14,money_laundering:12; corruption_bribery:2,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis19.pdf,advis19.pdf,,Advisory,FinCEN Advisory - Issue 19,07/01/2000,fincen_advisories.csv,0b31c67adf50232d06fc0e6224037ea68ec78268d91bc246aa59ee7277ab2e96,direct,4,13,money_laundering:13,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis2.pdf,advis2.pdf,,Advisory,FinCEN Advisory - Issue 2,03/01/1996,fincen_advisories.csv,8acafa1632adf29bedeb4314e6a9b702aee3dbe3c871aa544e5bedf08b93a9e5,direct,4,6,money_laundering:6,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis21.pdf,advis21.pdf,,Advisory,FinCEN Advisory - Issue 21,07/01/2000,fincen_advisories.csv,7bacd3a360fac89887b796820044e5362268cba1919c2ef6655f34b9221e2d60,direct,3,8,money_laundering:8,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis21a.pdf,advis21a.pdf,,Advisory,Advisory Updated - Issue 21A,01/01/2002,fincen_advisories.csv,b1a9fda67872c26c7106e8e70a0ddf27e914d905b89330bf49d99bd1edb8d44c,direct,2,0,,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis22.pdf,advis22.pdf,,Advisory,FinCEN Advisory - Issue 22,07/01/2000,fincen_advisories.csv,ff627c04ee175fd28450c26ced42929470d150312d7489b4a99f17cfe8fba155,direct,3,7,money_laundering:7,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis23.pdf,advis23.pdf,,Advisory,FinCEN Advisory - Issue 23,07/01/2000,fincen_advisories.csv,19deec970b8f5cdc8c7080008e9fec15c23b2aff175502d070853af00c857931,direct,3,13,money_laundering:13,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis24.pdf,advis24.pdf,,Advisory,FinCEN Advisory - Issue 24,07/01/2000,fincen_advisories.csv,cc576ee689852f79943a1a1e186a8a0732a1a0104e22aa97fa8dd3ce62fd57f0,direct,3,13,money_laundering:13,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis25.pdf,advis25.pdf,,Advisory,FinCEN Advisory - Issue 25,07/01/2000,fincen_advisories.csv,5c45276b8b3305293ebecedd95719a0801fddfcd4979157e0f7489e1728fdde4,direct,3,16,money_laundering:16,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis26.pdf,advis26.pdf,,Advisory,FinCEN Advisory - Issue 26,07/01/2000,fincen_advisories.csv,64147eef21941629139c4745142c6ff9f3260b9d050b67a1401d8a1a1d20dc8d,direct,3,9,money_laundering:8; structuring_smurfing:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis27.pdf,advis27.pdf,,Advisory,FinCEN Advisory - Issue 27,07/01/2000,fincen_advisories.csv,16f667d7e5b7d27c7a8960bb55260f9f80874f0d94d62bc44a9158fea46671dd,direct,3,7,money_laundering:7,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis28.pdf,advis28.pdf,,Advisory,FinCEN Advisory - Issue 28,04/01/2002,fincen_advisories.csv,6064e1269cf0e8b355faeb41d665650ffa6f0d59950db0d85313a6c2abdd6b1a,direct,2,9,money_laundering:9,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis29.pdf,advis29.pdf,,Advisory,FinCEN Advisory - Issue 29,04/01/2002,fincen_advisories.csv,787215e2d37dc843923960b358c9b5545de674c3f3f3add76ac780700f9adc52,direct,3,20,money_laundering:17; corruption_bribery:2; terrorist_financing:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis30.pdf,advis30.pdf,,Advisory,FinCEN Advisory - Issue 30,04/01/2002,fincen_advisories.csv,842e294bd895978c8cb3a3b9699a3d6ee29fed965a3a6ba1df7ebc6542f37486,direct,3,11,money_laundering:11,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis31.pdf,advis31.pdf,,Advisory,FinCEN Advisory - Issue 31,04/01/2002,fincen_advisories.csv,ff95d6a311bffd006b8cc381401509b008eaed73a5eba3d71c1577b0b6480835,direct,3,11,money_laundering:11,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis32.pdf,advis32.pdf,,Advisory,FinCEN Advisory - Issue 32,04/01/2002,fincen_advisories.csv,8bbb38b45cd27ffd2713bc76bff5ca27499a23e11b801f10910429d10c28e1e8,direct,3,9,money_laundering:9,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis33.pdf,advis33.pdf,,Advisory,FinCEN Advisory - Issue 33,03/01/2003,fincen_advisories.csv,042f47a943bd41532f87182a1351077757224b41cced2b819b6fdb7a986f0343,direct,11,17,money_laundering:16; terrorist_financing:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advis34.pdf,advis34.pdf,,Advisory,FinCEN Advisory - Issue 34,12/01/2003,fincen_advisories.csv,3c47929658b180004d9f839a727d838e467e874124936ec8d670d84db1ade16a,direct,2,0,,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\Advisory%20EIP%20FINAL%20508.pdf,Advisory%20EIP%20FINAL%20508.pdf,FIN-2021-A002,Advisory,FinCEN Advisory FIN-2021-A002,02/24/2021,fincen_advisories.csv,e40808f4ef76fe9e2843c2c2f0071b5bbc74f1b35388a6d7f4fbff21835f5cfe,direct,6,24,money_laundering:20; check_fraud:2; crypto_virtual_assets:1; mortgage_financial_aid_fraud:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\Advisory%20Human%20Trafficking%20508%20FINAL_0.pdf,Advisory%20Human%20Trafficking%20508%20FINAL_0.pdf,FIN-2020-A008,Advisory,FinCEN Advisory FIN-2020-A008,10/15/2020,fincen_advisories.csv,d3734a94233ec1198de0c2141dc4b988e23c06e3f42002641926b14e9e3651a4,direct,11,117,human_trafficking:79; money_laundering:29; sanctions_evasion:6; terrorist_financing:1; crypto_virtual_assets:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\Advisory%20Medical%20Fraud%20Covid%2019%20FINAL%20508.pdf,Advisory%20Medical%20Fraud%20Covid%2019%20FINAL%20508.pdf,FIN-2020-A002,Advisory,FinCEN Advisory FIN-2020-A002,05/18/2020,fincen_advisories.csv,de748a4ca1a5839d97ce02a15e304bb663a86713f7b8f7ce43b61dae1ec71dce,direct,9,32,money_laundering:27; terrorist_financing:3; corruption_bribery:1; healthcare_fraud:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\Advisory%20Ransomware%20FINAL%20508_2020%20rescinded.pdf,Advisory%20Ransomware%20FINAL%20508_2020%20rescinded.pdf,FIN-2020-A006,Advisory,FinCEN Advisory FIN-2020-A006,10/01/2020,fincen_advisories.csv,9a1f5e7e7b58dbf4337f78fa7bafc970a590807ce052b63368188ba3049c6a95,direct,8,133,ransomware:85; money_laundering:42; terrorist_financing:4; structuring_smurfing:1; crypto_virtual_assets:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\Advisory%20Unemployment%20Insurance%20COVID%2019%20508%20Final.pdf,Advisory%20Unemployment%20Insurance%20COVID%2019%20508%20Final.pdf,FIN-2020-A007,Advisory,FinCEN Advisory FIN-2020-A007,10/13/2020,fincen_advisories.csv,32ad52b46a71018c2a19ca19f812042f99cfdb2e131a8f925bbfae11a726d370,direct,4,20,money_laundering:19; sanctions_evasion:1,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
fincen_advisory_pdfs\advisory.pdf,advisory.pdf,,Advisory,FinCEN Advisory – Issue 40,12/01/2005,fincen_advisories.csv,34be7ebb4b4aa5cc99b3199c9d8c637792af90f55cca614cb8f88dacb25e0370,direct,2,5,sanctions_evasion:3; money_laundering:2,sbert,sentence-transformers/all-MiniLM-L6-v2,0.42,2,0.35
