article_name,primary_fraud_type_semantic,secondary_fraud_types_semantic,semantic_mention_counts_json,jurisdictions_json,sectors_json,channels_json,programs_json,actors_json,has_sar_guidance,has_regulatory_context,sar_guidance_json,regulatory_context_json,related_documents_json,quantitative_notes_json,fincen_id,doc_title,doc_date,doc_type,pdf_url,num_pages,num_chunks,total_chunks,high_signal_chunks
Advisory%20EIP%20FINAL%20508.pdf,fraud_government_programs,money_laundering | ransomware_cyber | correspondent_banking,"{""money_laundering"": 34, ""ransomware_cyber"": 27, ""sanctions_evasion"": 3, ""trade_based_money_laundering"": 6, ""fraud_government_programs"": 39, ""elder_romance_scam"": 14, ""proliferation_financing"": 2, ""human_trafficking"": 3, ""corruption_bribery"": 1, ""correspondent_banking"": 28, ""synthetic_identity"": 3, ""bulk_cash_smuggling"": 11, ""shell_front_companies"": 3, ""virtual_assets_crypto"": 6, ""structuring_smurfing"": 3, ""terrorist_financing"": 1}","[""United States""]","[""depository_institution"", ""insurance"", ""msb""]","[""ach"", ""atm"", ""card"", ""prepaid"", ""virtual_assets"", ""wire""]","[""eip"", ""unemployment_insurance""]","[""money_mule""]",True,False,{},{},[],[],FIN-2021-A002,FinCEN Advisory FIN-2021-A002,02/24/2021,advisory,https://www.fincen.gov/system/files/advisory/2021-02-25/Advisory%20EIP%20FINAL%20508.pdf,6,92,92,11
Advisory%20Human%20Trafficking%20508%20FINAL_0.pdf,human_trafficking,human_smuggling | bulk_cash_smuggling | money_laundering | trade_based_money_laundering,"{""money_laundering"": 53, ""human_trafficking"": 69, ""human_smuggling"": 54, ""ransomware_cyber"": 10, ""bulk_cash_smuggling"": 57, ""trade_based_money_laundering"": 45, ""structuring_smurfing"": 3, ""virtual_assets_crypto"": 15, ""shell_front_companies"": 17, ""corruption_bribery"": 4, ""terrorist_financing"": 11, ""sanctions_evasion"": 11, ""elder_romance_scam"": 24, ""correspondent_banking"": 17, ""fraud_government_programs"": 4, ""synthetic_identity"": 6, ""proliferation_financing"": 1}","[""Mexico"", ""United States""]","[""casino"", ""depository_institution"", ""msb"", ""real_estate"", ""securities""]","[""ach"", ""card"", ""cash"", ""prepaid"", ""virtual_assets"", ""wire""]",[],"[""front_company"", ""tco""]",True,True,{},{},[],[],FIN-2020-A008,FinCEN Advisory FIN-2020-A008,10/15/2020,advisory,https://www.fincen.gov/system/files/advisory/2020-10-15/Advisory%20Human%20Trafficking%20508%20FINAL_0.pdf,11,159,159,18
Advisory%20Medical%20Fraud%20Covid%2019%20FINAL%20508.pdf,elder_romance_scam,ransomware_cyber | trade_based_money_laundering | money_laundering | fraud_government_programs,"{""elder_romance_scam"": 28, ""ransomware_cyber"": 29, ""fraud_government_programs"": 23, ""structuring_smurfing"": 2, ""corruption_bribery"": 7, ""terrorist_financing"": 8, ""sanctions_evasion"": 6, ""correspondent_banking"": 12, ""bulk_cash_smuggling"": 8, ""money_laundering"": 23, ""trade_based_money_laundering"": 30, ""shell_front_companies"": 10, ""human_trafficking"": 8, ""synthetic_identity"": 1, ""virtual_assets_crypto"": 4, ""proliferation_financing"": 2, ""human_smuggling"": 3}","[""United States""]","[""depository_institution"", ""msb""]","[""ach"", ""atm"", ""card"", ""virtual_assets""]","[""eip""]",[],True,False,{},{},[],[],FIN-2020-A002,FinCEN Advisory FIN-2020-A002,05/18/2020,advisory,https://www.fincen.gov/system/files/advisory/2020-05-18/Advisory%20Medical%20Fraud%20Covid%2019%20FINAL%20508.pdf,9,108,108,21
Advisory%20Ransomware%20FINAL%20508_2020%20rescinded.pdf,ransomware_cyber,money_laundering,"{""money_laundering"": 32, ""ransomware_cyber"": 55, ""virtual_assets_crypto"": 30, ""human_trafficking"": 9, ""trade_based_money_laundering"": 14, ""corruption_bribery"": 7, ""bulk_cash_smuggling"": 13, ""structuring_smurfing"": 6, ""terrorist_financing"": 9, ""sanctions_evasion"": 15, ""elder_romance_scam"": 7, ""correspondent_banking"": 11, ""shell_front_companies"": 13, ""proliferation_financing"": 3, ""synthetic_identity"": 1}","[""United States""]","[""depository_institution"", ""insurance"", ""msb""]","[""ach"", ""card"", ""virtual_assets"", ""wire""]","[""eip""]","[""tco""]",True,True,{},{},[],[],FIN-2020-A006,FinCEN Advisory FIN-2020-A006,10/01/2020,advisory,https://www.fincen.gov/system/files/advisory/2021-11-08/Advisory%20Ransomware%20FINAL%20508_2020%20rescinded.pdf,8,121,121,21
Advisory%20Unemployment%20Insurance%20COVID%2019%20508%20Final.pdf,money_laundering,fraud_government_programs | correspondent_banking | ransomware_cyber,"{""money_laundering"": 29, ""fraud_government_programs"": 26, ""ransomware_cyber"": 15, ""correspondent_banking"": 21, ""elder_romance_scam"": 13, ""corruption_bribery"": 9, ""trade_based_money_laundering"": 9, ""synthetic_identity"": 7, ""structuring_smurfing"": 5, ""terrorist_financing"": 6, ""sanctions_evasion"": 7, ""bulk_cash_smuggling"": 8, ""virtual_assets_crypto"": 3, ""human_trafficking"": 2, ""shell_front_companies"": 5}","[""United States""]","[""depository_institution"", ""insurance""]","[""ach"", ""card"", ""virtual_assets"", ""wire""]","[""covid_relief"", ""unemployment_insurance""]","[""front_company"", ""money_mule""]",True,False,{},{},[],[],FIN-2020-A007,FinCEN Advisory FIN-2020-A007,10/13/2020,advisory,https://www.fincen.gov/system/files/advisory/2020-10-13/Advisory%20Unemployment%20Insurance%20COVID%2019%20508%20Final.pdf,4,86,86,11
Advisory_%20Imposter_and_Money_Mule_COVID_19_508_FINAL.pdf,ransomware_cyber,elder_romance_scam | money_laundering | fraud_government_programs,"{""ransomware_cyber"": 37, ""elder_romance_scam"": 34, ""correspondent_banking"": 12, ""fraud_government_programs"": 25, ""structuring_smurfing"": 4, ""corruption_bribery"": 6, ""terrorist_financing"": 10, ""sanctions_evasion"": 6, ""bulk_cash_smuggling"": 13, ""money_laundering"": 26, ""trade_based_money_laundering"": 13, ""synthetic_identity"": 5, ""human_trafficking"": 12, ""virtual_assets_crypto"": 6, ""proliferation_financing"": 1, ""shell_front_companies"": 3, ""human_smuggling"": 2}","[""United States""]","[""depository_institution"", ""insurance"", ""securities""]","[""ach"", ""atm"", ""card"", ""prepaid"", ""virtual_assets""]","[""eip"", ""unemployment_insurance""]","[""money_mule""]",True,False,{},{},[],[],FIN-2020-A003,FinCEN Advisory FIN-2020-A003,07/07/2020,advisory,https://www.fincen.gov/system/files/advisory/2020-07-07/Advisory_%20Imposter_and_Money_Mule_COVID_19_508_FINAL.pdf,8,97,97,26
Alert-FinCEN-Scams-FINAL508.pdf,money_laundering,elder_romance_scam | ransomware_cyber,"{""trade_based_money_laundering"": 24, ""sanctions_evasion"": 14, ""shell_front_companies"": 10, ""fraud_government_programs"": 14, ""ransomware_cyber"": 46, ""elder_romance_scam"": 50, ""money_laundering"": 59, ""virtual_assets_crypto"": 14, ""terrorist_financing"": 6, ""correspondent_banking"": 17, ""human_smuggling"": 2, ""human_trafficking"": 4, ""bulk_cash_smuggling"": 9, ""synthetic_identity"": 8, ""structuring_smurfing"": 2}","[""United States""]","[""depository_institution"", ""msb"", ""securities""]","[""ach"", ""virtual_assets""]",[],[],True,True,{},{},[],[],FIN-2024-ALERT005,"FinCEN Alert on Fraud Schemes Abusing FinCEN’s Name, Insignia, and Authorities for Financial Gain",12/18/2024,alert,https://www.fincen.gov/system/files/2024-12/Alert-FinCEN-Scams-FINAL508.pdf,11,164,164,21
BCS-Alert-FINAL-508C.pdf,bulk_cash_smuggling,trade_based_money_laundering | money_laundering | human_smuggling,"{""money_laundering"": 35, ""human_trafficking"": 9, ""human_smuggling"": 29, ""trade_based_money_laundering"": 43, ""bulk_cash_smuggling"": 50, ""shell_front_companies"": 5, ""terrorist_financing"": 4, ""virtual_assets_crypto"": 8, ""ransomware_cyber"": 2, ""structuring_smurfing"": 1, ""sanctions_evasion"": 6, ""correspondent_banking"": 8}","[""Canada"", ""Mexico"", ""United States""]","[""acs"", ""depository_institution"", ""msb""]","[""ach"", ""virtual_assets"", ""wire""]",[],"[""acs"", ""courier"", ""dto"", ""tco""]",True,True,{},{},[],[],FIN-2025-ALERT001,FinCEN Alert on Bulk Cash Smuggling and Repatriation by Mexico-Based Transnational Criminal Organizations,03/31/2025,alert,https://www.fincen.gov/system/files/shared/BCS-Alert-FINAL-508C.pdf,7,82,82,14
COVID-19%20Health%20Care%20508%20Final.pdf,fraud_government_programs,elder_romance_scam | ransomware_cyber | money_laundering,"{""fraud_government_programs"": 53, ""ransomware_cyber"": 29, ""elder_romance_scam"": 34, ""money_laundering"": 23, ""corruption_bribery"": 6, ""correspondent_banking"": 19, ""structuring_smurfing"": 3, ""terrorist_financing"": 8, ""sanctions_evasion"": 8, ""bulk_cash_smuggling"": 5, ""virtual_assets_crypto"": 2, ""trade_based_money_laundering"": 10, ""synthetic_identity"": 3, ""human_trafficking"": 5, ""shell_front_companies"": 5, ""proliferation_financing"": 1}","[""China"", ""United States""]","[""depository_institution"", ""insurance"", ""real_estate""]","[""ach"", ""atm"", ""check"", ""wire""]","[""covid_relief"", ""healthcare"", ""ppp"", ""unemployment_insurance""]","[""money_mule""]",True,False,{},{},[],[],FIN-2021-A001,FinCEN Advisory FIN-2021-A001,02/02/2021,advisory,https://www.fincen.gov/system/files/advisory/2021-02-02/COVID-19%20Health%20Care%20508%20Final.pdf,8,131,131,20
COVID-19%20Vaccine%20Notice%20508.pdf,ransomware_cyber,money_laundering | fraud_government_programs,"{""ransomware_cyber"": 10, ""fraud_government_programs"": 7, ""virtual_assets_crypto"": 3, ""money_laundering"": 8, ""elder_romance_scam"": 4, ""structuring_smurfing"": 4, ""shell_front_companies"": 1, ""terrorist_financing"": 2, ""correspondent_banking"": 2, ""bulk_cash_smuggling"": 2, ""human_trafficking"": 1, ""trade_based_money_laundering"": 1}","[""United States""]","[""depository_institution""]","[""atm""]",[],[],True,False,{},{},[],[],FIN-2020-NTC4,COVID-19 Vaccine-Related Scams and Cyberattacks,12/28/2020,notice,https://www.fincen.gov/system/files/shared/COVID-19%20Vaccine%20Notice%20508.pdf,2,24,24,7
